"","农林牧渔","工业","建筑业","批发和零售贸易业","交通运输","住宿和餐饮业","金融保险业","房地产业","其他"
"1",24762691.851,128076756.99,10935311.22,26990626.839,19291013.751,8704054.29,13718133.291,14299435.491,62214597.66
"2",38215204.35,141494935.5,19293346.059,26670723.741,20344394.289,7862275.716,12151876.131,13898286.03,58213624.98
"3",55686617.13,151056417.39,21119175.591,26367103.14,18799436.169,8526333.654,12616400.031,16020263.829,57287806.23
"4",69105638.79,164024718.39,26391724.131,26968597.59,24522279.69,8174084.973,13712952.729,19112200.47,62488015.08
"5",26370333.081,146611175.49,12760671.651,28886615.529,22199643.639,9214558.089,15406759.359,16591333.569,72000926.04
"6",42615294.78,166086027.99,22287024.36,30436301.61,24418785.72,9200194.008,13232365.509,16335549.231,67880030.19
"7",63471937.56,177049409.79,24712250.181,30001455.6,21968375.94,9517229.799,13726625.31,18345137.7,65120918.79
"8",76781215.89,194488458.3,29779349.841,31845903.09,27070655.37,9669078.657,15270532.281,21613266.6,66691896.09
"9",30739725.24,168572658.3,14145714.96,32359464.93,25948622.04,10478329.911,16310678.82,19324084.98,80052186.66
"10",47044088.7,190277913.81,25030257.03,33516371.28,29124532.689,10348400.22,14167264.029,18908137.059,73918278.12
"11",68856655.2,201821273.01,27024765.81,33397192.47,25802369.679,10519307.73,15185891.58,20396025.519,72300271.11
"12",84063906.45,223145469.9,35136287.85,36072417.27,27480209.259,10588270.419,17408504.871,23811074.529,76910731.5
"13",33714292.74,212208565.2,17352911.31,36782589.72,30389949.78,11997048.42,24408163.341,24011069.751,90420993.78
"14",52806970.8,243233316.09,30058516.77,38222939.34,33493775.52,11792379.711,22462477.53,23922409.2,85045119.81
"15",76719358.32,255070293,32680606.92,38161330.08,30717281.58,12343254.201,23563977.171,24803037.57,83333586.3
"16",95406358.68,281305627.59,43144221.39,41168981.7,34491660.81,12668076.681,28256979.261,30078838.32,89075140.32
"17",36291202.98,256776892.11,20495474.529,40268071.8,34410584.4,13267380.081,32965848.15,26831213.229,98863778.31
"18",57181107.24,295224728.79,35414598.9,42515211,39135717.87,13001490.669,32600906.07,28994310.81,94319795.61
"19",86248077.87,308753606.4,38053838.04,42926565.75,35380026.69,13710863.559,34445056.62,30715446.6,95364612.12
"20",106872355.71,339063061.5,51171546.96,47615347.86,40902257.13,15687475.431,34300140.15,36651388.77,104019146.01
"21",44268594.45,299611013.19,26645358.849,50077172.88,39157931.58,15501188.97,39264304.47,38053615.41,123419094.6
"22",68755901.79,347898327.6,46164759.6,53622981.09,44096434.44,14852041.011,38263746.24,39137335.26,117353606.79
"23",98396120.76,352304872.5,48343013.01,54908139.39,40086478.77,15941371.269,40051885.5,37304430.45,118790217.69
"24",114752541.39,359230917,64473142.26,58791011.1,41318840.97,17711774.799,41896528.92,43571817.3,125104560
"25",47959008.18,323051496.3,32839777.71,60733537.32,40222039.95,17569037.49,44625778.86,42154510.71,146608714.89
"26",74969784.99,372081818.4,56673315.39,63204527.76,44949827.07,16807833.861,44607176.7,48250192.02,139401365.49
"27",108497930.1,388896926.4,60779658.39,65440228.71,46352302.5,17914282.86,46928221.14,47756531.31,140867250.69
"28",134326800.69,434239667.1,75824286.21,72095946.48,47965529.49,20055428.061,48481503,54783997.17,149888453.01
"29",67533267.48,398060246.4,44403039.3300872,74417718.2344445,45092518.5731125,19912690.752,51210752.94,53366690.58,171392607.9
"30",94544044.29,447090568.5,68588274.5062979,77267954.2088889,49208826.6737289,19151487.123,51192150.78,59462371.89,164185258.5
"31",128072189.4,463905676.5,73047441.8311671,79882900.6933333,50400523.6240378,20257936.122,53513195.22,58968711.18,165651143.7
"32",153901059.99,509248417.2,88445753.0207296,86917863.9977778,51941003.0671341,22399081.323,55066477.08,65996177.04,174672346.02
"33",66375853.23,403778263.5,50237846.7867701,83282896.44,47206916.3317455,21652247.151,57751853.61,63181131.6,191045212.47
"34",97311893.94,457108256.4,77939665.7751795,86585335.05,53153119.5043221,21170984.631,56943874.5,66457805.1,187127767.29
"35",137339066.91,466841653.2,83127419.0922019,89606117.61,54084150.7606183,23136837.42,59681708.91,66441201.96,189548769.87
"36",164344415.49,518710773.3,102148101.721297,98116215.12,55245904.236577,25386216.621,61534109.1,77828008.59,198632644.17
"37",76861390.29,448347157.2,59675784.345168,51807731.242464,117298287.96,22674923.169,87416217.12,71752717.53,226432091.22
"38",112209925.076671,508820687.7,92721425.5789226,56439396.8930574,127644006.48,22324476.069,85225907.37,74358865.05,225106165.41
"39",163591803.017257,517959499.5,100357448.766626,60579608.0121385,130301389.5,24630644.067,85431420.18,74006840.67,227646545.43
"40",187949306.261206,553245573.6,120198702.775462,68480421.3985705,131679233.1,27044720.997,87247239.93,82578926.64,234867756.63
"41",84577939.6573619,514842987.383518,63014131.1169748,42233536.41,152036991.96,24219560.6711584,106008353.76,83090902.7873907,258894984.81
"42",117531509.030866,567861156.052285,105412448.787502,44476131,167686770.87,23726574.3615967,104614698.51,85477827.1949602,256053152.19
"43",169588221.501523,567416862.188283,115028344.581692,46491842.94,169517436.36,26245590.6922234,105632256.39,88323023.9549602,255610717.11
"44",211891158.13022,610588903.219423,133518832.992905,52875390.96,173984008.68,28819604.0513554,106633852.59,99591019.3049602,262875915.21
"45",89327178.75,515208784.510959,68942373.5020384,64778857.3383829,137779798.08,26609160.1626997,126322870.23,92460722.9322737,296565727.98
"46",126288758.1,567293852.539755,109676909.24277,66175248.022166,152921586.69,26094442.0435361,124038063.21,97522410.8713365,295400325.9
"47",183690560.79,574724611.22273,119530444.258089,67966857.5180304,157995030.48,28846472.3423472,125424269.13,99957788.7013365,295329785.79
"48",225372965.49,625656915.814175,142219007.541994,74537505.7434928,161380864.29,31676848.7031037,126054739.23,108140572.614285,303118009.89
"49",82731062.2737197,523201764.952795,70793009.2630269,70087237.9937114,149351974.8,28767387.3358764,148684409.49,99508178.91,329136513.21
"50",127797327.368007,583192069.159285,117422699.606947,72039104.5363723,168080447.91,28222205.6643174,143987660.79,102635849.67,328813174.11
"51",190816083.92341,590913978.018122,127154370.092312,73758793.2744736,172635389.7,31071879.2743656,146596965.6,104031144.54989,330594514.89
"52",228255426.405225,634058797.252084,151645048.292312,80452280.5142739,176856160.5,34128371.1256758,151098284.91,117636562.56989,338960667.3
"53",87745871.3387865,545628849.122408,79073364.6421272,77027431.2662687,161338808.79,30688578.305866,161253207.18,103073493.153454,361847841.6
"54",138408806.924857,606887181.78567,125182329.915929,79544430.761342,180681180,30046368.7282254,159892232.58,108960027.519367,361405683.6
"55",194932813.411659,601511830.674586,133005180.319211,82123121.7731385,185170327.71,33430443.7094234,160709434.08,112475976.227065,366809087.1
"56",244233636.907905,642518480.513013,160998128.078072,89891826.7904981,189245259.3,36674365.0192238,161700355.17,125291468.472795,376216048.2
"57",92980616.1907189,636187392.148831,88600621.1025017,109115051.857175,174448200.18,32542347.1632128,136368994.62,134111803.8,439267695.786
"58",136179821.194427,700186742.500317,139822629.333514,111532596.900729,198616858.29,31785021.1266805,131435677.02,143388375.42,440105720.472
"59",193058056.684492,703460173.291639,148985354.48529,114213697.03216,205048822.38,35267918.0430918,132683236.32,147448564.71,445619098.758
