"","农林牧渔","工业","建筑业","批发和零售贸易业","交通运输","住宿和餐饮业","金融保险业","房地产业","其他"
"1",187770152.121,584652828.27,77739557.001,106997051.31,82957123.899,33266748.633,52199362.182,63330185.82,240204043.95
"2",209238781.311,684235071.57,89539296.033,121170275.829,95657460.669,37601060.553,57636282.459,72885287.1,271693771.11
"3",230704375.59,783817315.02,101337025.65,135345445.95,108355733.667,41934308.28,63072339.3,82439322.087,303181467.39
"4",258646980.54,991817801.88,123236256.39,154335840.84,129092667.69,48800759.013,98691597.303,102815354.841,347874840.21
"5",286592743.8,1199818288.8,145135458.429,173325196.41,149828586.09,55667209.74,134311950.99,123192359.409,392567332.05
"6",326173158.39,1359045130.29,185626273.719,217399304.46,164659685.76,64006376.049,159476465.13,158067198.42,484667479.08
"7",365753523.96,1518269908.2,226117037.7,261474240.27,179489699.01,72346582.272,184642679.7,192945231.21,576765784.08
"8",444050561.16,1818304908.6,271521613.5,314693981.79,206076453.09,81721195.32,210982576.02,237793950.69,675901356.12
"9",465371229.57,1846438946.4,325066247.79,357590564.22,207963881.49,91346285.823,235911546.12,273908147.25,766354393.8
"10",537945539.97,2028372918,380751332.7,225064756.32,506922917.04,96674764.302,345320784.6,302697349.89,914052558.69
"11",622375124.46,2266537158.6,427475167.8,186076901.31,663225207.87,103474392.831,422889161.25,371846184.24,1033434769.32
"12",624679463.13,2256047300.1,444873659.79,283710157.77,610077279.54,113855603.454,501839941.8,377451674.52,1190413849.56
"13",633466033.56,2278490699.7,471531877.59,304815119.43,666923972.91,122392906.68,590367320.79,423908998.5,1327504869.51
"14",684258571.2,2366587451.1,503948405.01,333665827.29,716435575.8,131592990.882,643555229.01,458379309.48,1466278660.5
"15",639524558.88,2916602780.4,572199186.51,478414101.51,791186394.03,138808956.54,532433992.59,584871179.25,1780907543.1
