"","农林牧渔","工业","建筑业","批发和零售贸易业","交通运输","住宿和餐饮业","金融保险业","房地产业","其他"
"1",16540076.68,167208296.9,44353682.97,19637089.43,12837449.63,10687404.55,5714588.91200001,14425895.68,90047144.8100001
"2",25525593.66,184726157.5,78253918.6599999,19404343.23,13538435.06,9653814.015,5062130.18300001,14021198.56,84256282.5099999
"3",37195508.58,197208977.5,85659493.3599999,19183443.39,12510323.09,10469187.59,5255637.78800001,16161942.54,82916286.1400001
"4",46158655.5800001,214139508.6,107044979.5,19621061.99,16318661.86,10036673.72,5712430.83399999,19281223.39,90442879.2
"5",16229008.09,204285776.4,50853975.6999999,21294450.3,16877182.96,11165121.63,7609954.88199999,17105642.08,103407339.4
"6",26226591.9,231421739,88818506.3199999,22436837.96,18564276.12,11147716.92,6535943.226,16841928.79,97488931.1199999
"7",39062327.55,246697948,98483544.18,22116280.97,16701362.7,11531863.74,6780075.996,18913811.73,93526310.3000001
"8",47253213.3,270997252.4,118677008.1,23475958.94,20580348.54,11715856.39,7542667.40499999,22283248.14,95782539.3800001
"9",17604124.57,245933105.1,55605426.0699999,24100675.43,21610317.21,12561892.17,9100782.17300001,20251994.76,114262135.7
"10",26941359.79,277599218.3,98391499.5500001,24962315.89,24255252.9,12406126.63,7904832.49400001,19816073.73,105506928.4
"11",39433050.4299999,294439993.1,106231719.1,24873553.94,21488516.52,12611018.23,8473190.655,21375408.07,103197473.2
"12",48141987.9099999,325550174.4,138117321.2,26866007.3,22885841.04,12693693.79,9713330.29899999,24954441.95,109778193.5
"13",17868995.82,296298155,70420771.5999999,28385490.14,20453501.26,14150133.5,9917990.88999999,22898756.28,130509980.1
"14",27988353.41,339616748.000001,121982064.4,29497022.25,22542484.76,13908733.33,9127382.688,22814202.93,122750662.6
"15",40662217.1600001,356144235.6,132622907.7,29449477.78,20673807.02,14558472.1,9574965.05199999,23654036.17,120280304.8
"16",50566560.51,392775561.999999,175085857.7,31770512.43,23214096.52,14941589.79,11481915.25,28685435.3,128567430.1
"17",17988200.38,348016823.600001,84994815.0800001,31922076.8300001,19183342.46,15454788.29,11048069.56,23894320.39,143918640.5
"18",28342549.44,400126239.999999,146864483.7,33703472.01,21817527.69,15145061.38,10925764.02,25820649.48,137303843.6
"19",42749966.3499999,418462301.900001,157809419.1,34029569.0300001,19723790.79,15971389.39,11543806.78,27353393.06,138824810.9
"20",52972654.2999999,459541544.799999,212208610.5,37746550.1499999,22802344.66,18273887.54,11495239.93,32639598.4599999,151423446.8
"21",20676704.99,410272419.500001,104725444,35851509.36,19979486.69,16605988.07,12647041.33,35882517.0999999,172428096
"22",32114087.0900001,476394666,181443416.6,38390042.76,22499250.85,15910574.1,12324761.3,36904406.76,163954038.5
"23",45958259.7099999,482428769.499999,190004703.3,39310119.96,20453257.79,17077542.99,12900721.36,35176075.8999999,165961119.1
"24",53597916.87,491912950.599999,253401670.8,42089965.5999999,21082043.92,18974126.54,13494881.42,41085885.33,174782849.9
"25",21326060.26,445950518.799999,124504833.1,40388242.17,18935821.82,17555873.73,13950781.49,41159911.3599999,198975404.9
"26",33337014.5199999,513633528.500001,214864477.5,42031468.71,21161580,16795240.43,13944966.13,47111770.2999999,189193685.7
"27",48246064.3299999,536845636.400001,230432778.6,43518226.0299999,21821840.52,17900860.42,14670564.31,46629757.0899999,191183165.8
"28",59731457.22,599438191.700001,287471193.8,47944326.5499999,22581319.13,20040401.35,15156146.78,53491415.9799999,203426622
"29",27459600.61,524868215.471482,158757018.177033,46242603.12,20435097.03,18847165.2119643,15475810.2552143,53565442.0099998,227619177
"30",39470554.8699999,568682081.570088,249114706.492012,47885829.66,22660855.21,18086531.9119643,15469994.8952143,59517300.9499998,217837457.8
"31",54379604.6799999,591909791.967437,264681884.836555,49372586.9799999,23321115.73,19192151.9019643,16195593.0752143,59035287.7399998,219826937.9
"32",65864997.57,654496177.917021,321719651.368861,53798687.4999999,24080594.34,21331692.8319643,16681175.5452143,65896946.6299998,232070394.1
"33",25897616.11,559380059.430374,178549100.996466,49306584.1510462,18891533.96,19134032.9385955,17177704.9051875,64429011.5300001,249425136.7
"34",39096367.83,631909347.970159,280892720.275101,51466182.0254455,21442498.34,18680627.2885938,16930940.9551875,67704443.37,244221714.1
"35",56173818.8000001,644988102.095885,300058650.889663,53448844.969594,21849711.53,20532690.7785938,17767099.7151875,67687846.5400002,247437457.7
"36",67695554.7,716929096.297585,370329632.902222,58882362.0220971,22357823.09,22651869.3385938,18332839.0551875,79070338.2800001,259503290.2
"37",48747692.5171427,609697882.499485,206406833.038603,36944458.8756194,69403398.6507818,29857863.91,27186133.07,68756865.4700001,298310687.6
"38",67390413.2542857,695084557.798584,325218347.92713,39216898.6256195,75130567.5107816,29462118.49,26509681.4,71305985.7100002,296557615.2
"39",91743607.3114286,708341966.778276,352672524.08884,41271561.2056196,76601638.0107818,32066378.67,26573151.64,70961664.2500002,299916377.8
"40",104415268.608571,756667141.134185,424009033.42559,45919641.0756195,77364382.7907818,34792495.95,27133946.44,79346177.2900002,309463899.9
"41",60258902.5600002,683020056.47,218901256.470917,33600972.24,95203227.6500001,35273424.5900001,33101664.56,80500932.3,340228718.6
"42",80396800.3600002,754186939.37,365976057.429611,35197397.9600001,104575888.1,34638643.6700001,32668400.53,85463185.6299999,336484078.599999
"43",107781416.83,753590431.270001,397642684.198166,36632313.7400001,105672274.62,37882078.0400001,32984742.2,88201520.1399999,335901088.499999
"44",127714143.99,811540930.769999,469787858.840751,41176541.3499999,108347307.02,41196329.7400002,33296121.65,99046302.7899999,345474330.999998
"45",31045631.5399998,703609651.764495,251277313.368307,39470345.7800001,84703035.27,29928173.3099999,37601222.9999999,85350704.01,378812331.099999
"46",49999084.3398513,773360655.456493,411395413.395712,41043116.7999999,93893845.8800001,29274890.7499999,36908649.8099999,88182674.0300001,377302999.899999
"47",78580964.653527,782360191.063727,450215830.916589,42764028.1299999,96973340.82,32548643.8399998,37328838.08,90532061.9499999,377211642.3
"48",99353256.0304253,850334056.18524,542456642.774186,47518710.9699999,99028484.9300001,36177790.0519269,37519946.8599998,100862542.5,387298297.899999
"49",27239613.883277,721986657.464031,273563228.837909,39742112.3200002,92619862.1599998,30748368.3403306,43678753.5099999,96355890.78,415848632.700003
"50",46625980.094794,792494205.461596,454387094.585978,41432624.6800002,104111928.91,30304812.2066248,42280568.16,99378882.2900001,415435510.000002
"51",73636763.2849066,798622589.963941,492745972.795765,42901619.7700002,106906908.21,33651593.6088687,43057337.7999999,100774482.15,417711486.700002
"52",91239215.7315004,854441031.372224,587838351.697166,47319613.7900001,109496835.28,37198129.9896362,44397345.3399999,113924543.65,428400720.300003
"53",26335901.5782642,747232383.481949,314495296.605219,40957430.4100002,100790650.05,31265244.4795357,47217285.4665516,99282997.6110787,453085866.6
"54",45721366.7429851,825813655.994872,499875132.74207,42664694.0800002,112766552.15,30784723.2445911,46817647.8842008,108564750.755189,451745883.678609
"55",68165041.5781007,821321917.294365,534993534.229413,44348228.04,115546024.85,34400568.4980272,47057663.1547907,110307182.814209,458574677.37861
"56",86229563.4722278,877457043.987724,636465340.813008,48927552.6700002,118069034.15,37906624.2150339,47348684.5129433,123108120.935814,470463147.27861
"57",46554932.6006038,777716123.661773,351551989.768888,70989066.2588052,87476905.2300003,42137609.7983431,55724474.3439761,104376369.017031,559280541.708725
