"","农林牧渔","工业","建筑业","批发和零售贸易业","交通运输","住宿和餐饮业","金融保险业","房地产业","其他"
"1",17705360.511,341575798.8,34175383.8,18102864.771,22818518.829,13545118.59,8084912.913,4484591.058,67567705.17
"2",27323926.41,377361566.4,60296181.18,17888302.791,24064517.82,12235155.411,7161824.292,4358782.503,63222478.26
"3",39816011.85,402861672,66002321.94,17684661.621,22237052.631,13268552.4,7435595.889,5024277.492,62216999.64
"4",49410631.74,437447633.4,82480259.01,18088089.549,29006360.58,12720388.29,8081859.699,5993971.113,67864648.11
"5",18782398.029,424105011.3,38554495.23,15472205.13,27953349.441,14952507.261,9397087.191,4544234.643,85646162.58
"6",30352951.05,480440297.7,67336970.82,16302245.631,30747648.99,14929198.599,8070853.155,4474177.344,80744296.23
"7",45208196.31,512154286.5,74664434.4,16069334.079,27662141.76,15443654.091,8372318.403,5024587.683,77462292.57
"8",54687794.55,562600562.7,89973931.83,17057254.23,34086830.46,15690059.949,9313997.832,5919702.264,79330993.23
"9",21825801.6,516020014.5,41611931.7,13876473.591,34190239.35,17556200.76,10226137.41,4702949.952,101785829.01
"10",33402216.12,582462261.9,73630590.54,14372581.311,38374860.21,17338506.549,8882302.836,4601719.686,93986604.57
"11",48889561.77,617797792.8,79497763.98,14321474.73,33997535.37,17624858.16,9520941.201,4963830.75,91929319.29
"12",59687005.32,683073576.6,103359131.4,15468671.889,36208278.45,17740403.55,10914430.041,5794959.603,97791489.36
"13",23863019.301,679120101.6,54928978.05,20620313.271,37342489.05,20004658.509,12370849.92,5209845.369,105715120.41
"14",37376841.12,778407008.4,95147354.76,21427773,41156400.54,19663380.6,11384713.161,5190608.085,99429952.14
"15",54302059.41,816288273.6,103447329.81,21393234.87,37744707.03,20581944.531,11942988.96,5381684.022,97428923.79
"16",67528742.04,900247858.8,136568898.9,23079323.829,42382579.62,21123574.65,14321554.839,6526410.447,104141624.61
"17",25622158.569,845089316.4,68078338.92,26717940.729,40072207.83,22042817.4,14848530.951,5347816.929,107771251.29
"18",40370758.65,971626621.8,117634117.89,28208921.76,45574774.35,21601060.869,14684153.13,5778950.988,102817862.79
"19",60892495.83,1016152083.9,126400688.19,28481856.411,41201153.85,22779633.951,15514798.431,6121996.194,103956815.7
"20",75453559.53,1115904816.9,169972835.31,31592872.08,47631964.89,26063635.341,15449524.911,7305108.258,113391109.59
"21",31330707.12,1026367983.9,82345323.33,27232340.67,51313086.09,25914795.759,19208538.171,9830699.22,126157900.11
"22",48661382.82,1191784311,142668450.3,29160577.671,57784567.44,24829554.051,18719053.86,10110665.361,119957812.5
"23",69638986.23,1206879672.9,149400165.99,29859456.351,52529866.95,26650689.921,19593831.639,9637156.194,121426303.29
"24",81215098.65,1230606006,199249023.99,31970990.97,54144771.15,29610440.04,20496251.901,11256261.081,127880767.89
"25",34007406.9,1141010805,96615182.22,28208615.541,57605508.03,29511927.6,23090613.321,12478776.6,143085841.5
"26",53160565.23,1314184827.9,166733853.81,29356304.649,64376586.24,28233281.199,23080988.031,14283248.859,136051678.11
"27",76935145.14,1373575421.1,178814784.51,30394709.97,66385194.24,30091860.12,24281960.679,14137113.099,137482339.5
"28",95250221.85,1533724986.9,223076334.39,33486059.37,68695637.97,33688489.83,25085671.71,16217416.611,146286770.49
"29",48042530.1,1444129785.9,124139181.754174,29723683.941,72156374.85,33589977.39,27931699.0433066,17439932.13,160008677.397791
"30",67195688.43,1617303808.8,195135247.237522,30871373.049,78927453.06,32311330.989,28071027.362876,19244404.389,151955340.4575
"31",90970268.34,1676694402,208096399.110271,31909778.37,80936061.06,34169909.91,29421385.9126682,19098268.629,152684914.846572
"32",109285345.05,1836843967.8,253234917.875882,34730733.8005842,83246504.79,37766539.62,30374870.2910845,21178572.141,161006602.048898
"33",47285026.32,1498312874.1,137064309.946087,29686288.691763,76897704.18,36634643.97,32418218.6065345,21787735.359,173809900.580625
"34",69255220.32,1691266452,216425285.473761,30850731.000192,85853042.46,35823189.27,32107735.7916393,22843390.32,169271204.18287
"35",97681765.38,1725038178.78563,231874546.291068,31933765.2013078,87282592.74,39137805.33,33707794.6024413,22838041.248,170967948.774435
"36",116860455.75,1912703493.26802,286589965.93554,35283778.0664876,89066353.83,42930474.03,34830593.1254845,26506560.249,179124739.638386
"37",54289133.31,1544511862.8,163860552.946539,95743754.67,49422426.5563125,33343805.9521491,59441080.74,24631758.51,242876514.78
"38",79365126.4499716,1758233658.9,257142483.423654,99036721.53,58324409.3770418,33327500.2800946,58071084.87,25499986.821,241529341.89
"39",115815334.931382,1790531478.9,279365284.095943,102014109.96,61290496.2841164,37197895.3648264,58199629.11,25382711.211,244110429.78
"40",133036284.067213,1967630555.84846,335726568.965952,108749590.17,62328108.1441164,41104575.4035002,59335388.82,28238469.63,251447355.99
"41",59723601.8063204,1751923488.44948,184960061.613956,126946061.97,40190511.96,33160744.0081621,75453100.32,29543574.72,287910617.7
"42",83082982.7962735,1935696944.51495,289859161.380656,130762672.5,47201624.58,32447493.2581621,74509430.61,31302493.749,284870767.5
"43",119925772.757355,1934158956.72417,313797995.544685,134193157.65,48021764.1,36091871.8081621,75198437.85,32273123.1,284397503.7
"44",150211940.180991,2102684901.75764,370338477.996283,145057143.78,50022791.82,39815821.9381621,75876637.11,36117161.97,292168937.7
"45",62601002.07,1921583673.30596,224140723.442655,110711185.38,74955841.8525308,38571328.5333865,70739382.51,34009204.83,324969643.71
"46",88681868.4,2101675965.06019,346836045.079643,114774418.32,80976500.5505016,37509928.0855775,69349387.77,35075123.22,323706028.29
"47",129185785.38,2123255517.49142,377268499.369986,119220369.72,82278671.5295786,41292498.8571239,70192705.83,35959403.7,323629543.5
"48",158597765.19,2304636669.25278,444570704.793507,131504029.32,83011140.1211483,45253081.6367829,70576261.23,39847668.42,332074114.2
"49",58022912.9613472,2040190679.62883,253638026.688714,118662017.28,87338209.5964963,41697766.5018887,78136571.88,39654925.95,363613524.9
"50",89692637.2132652,2251262315.21385,392681038.562245,123343100.49,96223717.8095673,40624270.8324471,75505092.81,40846713.81,363259290
"51",133926324.636099,2269920425.94516,424319121.440049,127410795.18,97588015.6841385,44577943.5698054,76967025.63,41396916.81,365210841.9
"52",160254764.822927,2425653626.02673,499479087.321045,139644362.97,98998897.7376065,48890203.0387084,79489010.16,46581213.18,374376399.6
"53",61439327.8524203,2198569936.17355,286915056.649029,129110221.32,100016826.121752,44746513.9071103,80026159.56,42246490.0022327,402397563.6
"54",96911312.7791859,2424222526.03681,437267876.653242,134142819.81,110257423.423155,43602775.3030691,79311980.91,46132579.5035828,401909187
"55",136536333.15995,2411928443.99174,466889008.578077,139105468.92,111955093.377516,48194287.0840767,79740811.74,46879611.743952,407877402.9
"56",171310018.362203,2572685429.8773,553756845.389745,152604205.41,113585954.200879,52734970.866099,80260802.82,52129142.6662914,418267664.4
"57",65165838.7633444,2049775591.29804,278310712.86254,131234453.7,87464651.4715364,58484036.97,101667320.61,45294751.1713049,468983052.6
