,农林牧渔,工业,建筑业,批发和零售贸易业,交通运输,住宿和餐饮业,金融保险业,房地产业,其他
2002年1月,7396481.017,35326547.1,3101384.368,7975106.963,5382798.78,2578993.46,4024253.767,4037030.08,17807350.43
2002年2月,7396481.017,35326547.1,3101384.368,7975106.963,5382798.78,2578993.46,4024253.767,4037030.08,17807350.43
2002年3月,7396481.017,35326547.1,3101384.368,7975106.963,5382798.78,2578993.46,4024253.767,4037030.08,17807350.43
2002年4月,11609823.42,39652170.77,5497446.247,7787854.287,5943422.35,2388913.925,3623034.853,3838438.04,17087712.6
2002年5月,11609823.42,39652170.77,5497446.247,7787854.287,5943422.35,2388913.925,3623034.853,3838438.04,17087712.6
2002年6月,11609823.42,39652170.77,5497446.247,7787854.287,5943422.35,2388913.925,3623034.853,3838438.04,17087712.6
2002年7月,16159079.97,41893670.3,5714807.65,7308116.023,5242174.137,2368737.885,3760796.033,4643559.07,17353452.03
2002年8月,16159079.97,41893670.3,5714807.65,7308116.023,5242174.137,2368737.885,3760796.033,4643559.07,17353452.03
2002年9月,16159079.97,41893670.3,5714807.65,7308116.023,5242174.137,2368737.885,3760796.033,4643559.07,17353452.03
2002年10月,20269502.57,44817468.37,7667330.193,7869874.053,6850920.037,2308209.765,4179971.597,5406676.71,17323262.34
2002年11月,20269502.57,44817468.37,7667330.193,7869874.053,6850920.037,2308209.765,4179971.597,5406676.71,17323262.34
2002年12月,20269502.57,44817468.37,7667330.193,7869874.053,6850920.037,2308209.765,4179971.597,5406676.71,17323262.34
2003年1月,8254230.617,42692252.33,3645103.74,8996875.613,6430337.917,2901351.43,4572711.097,4766478.497,20738199.22
2003年2月,8254230.617,42692252.33,3645103.74,8996875.613,6430337.917,2901351.43,4572711.097,4766478.497,20738199.22
2003年3月,8254230.617,42692252.33,3645103.74,8996875.613,6430337.917,2901351.43,4572711.097,4766478.497,20738199.22
2003年4月,12738401.45,47164978.5,6431115.353,8890241.247,6781464.763,2620758.572,4050625.377,4632762.01,19404541.66
