"","农林牧渔","工业","建筑业","批发和零售贸易业","交通运输","住宿和餐饮业","金融保险业","房地产业","其他"
"1",5429148.34333333,41742122.0333333,12877361.3866667,5702140.49333333,2887417.45533333,3220890.32066667,1292676.56066667,3951511.86,26032615.03
"2",5429148.34333333,41742122.0333333,12877361.3866667,5702140.49333333,2887417.45533333,3220890.32066667,1292676.56066667,3951511.86,26032615.03
"3",5429148.34333333,41742122.0333333,12877361.3866667,5702140.49333333,2887417.45533333,3220890.32066667,1292676.56066667,3951511.86,26032615.03
"21",8521816.44666667,46853312.5333333,22826129.7633333,5568256.26333333,3188144.70733333,2983501.067,1163796.446,3757126.68333333,24980574.4833333
"22",8521816.44666667,46853312.5333333,22826129.7633333,5568256.26333333,3188144.70733333,2983501.067,1163796.446,3757126.68333333,24980574.4833333
"23",8521816.44666667,46853312.5333333,22826129.7633333,5568256.26333333,3188144.70733333,2983501.067,1163796.446,3757126.68333333,24980574.4833333
"31",11861051.5033333,49501885.7666667,23728643.28,5225247.07333333,2811984.19833333,2958303.325,1208048.28966667,4545192.47333333,25369059.7
"32",11861051.5033333,49501885.7666667,23728643.28,5225247.07333333,2811984.19833333,2958303.325,1208048.28966667,4545192.47333333,25369059.7
"33",11861051.5033333,49501885.7666667,23728643.28,5225247.07333333,2811984.19833333,2958303.325,1208048.28966667,4545192.47333333,25369059.7
"4",14878174.6433333,52956668.2,31835777.2066667,5626899.77,3674940.66,2882710.099,1342696.465,5292144.65,25324925.3133333
"41",14878174.6433333,52956668.2,31835777.2066667,5626899.77,3674940.66,2882710.099,1342696.465,5292144.65,25324925.3133333
"42",14878174.6433333,52956668.2,31835777.2066667,5626899.77,3674940.66,2882710.099,1342696.465,5292144.65,25324925.3133333
"5",5513358.89333333,55736098.9666667,14784560.99,6545696.47666667,4279149.87666667,3562468.18333333,1904862.97066667,4808631.89333333,30015714.9366667
"51",5513358.89333333,55736098.9666667,14784560.99,6545696.47666667,4279149.87666667,3562468.18333333,1904862.97066667,4808631.89333333,30015714.9366667
"52",5513358.89333333,55736098.9666667,14784560.99,6545696.47666667,4279149.87666667,3562468.18333333,1904862.97066667,4808631.89333333,30015714.9366667
"6",8508531.22,61575385.8333333,26084639.5533333,6468114.41,4512811.68666667,3217938.005,1687376.72766667,4673732.85333333,28085427.5033333
"61",8508531.22,61575385.8333333,26084639.5533333,6468114.41,4512811.68666667,3217938.005,1687376.72766667,4673732.85333333,28085427.5033333
"62",8508531.22,61575385.8333333,26084639.5533333,6468114.41,4512811.68666667,3217938.005,1687376.72766667,4673732.85333333,28085427.5033333
"7",12398502.86,65736325.8333333,28553164.4533333,6394481.13,4170107.69666667,3489729.19666667,1751879.26266667,5387314.18,27638762.0466667
"71",12398502.86,65736325.8333333,28553164.4533333,6394481.13,4170107.69666667,3489729.19666667,1751879.26266667,5387314.18,27638762.0466667
"72",12398502.86,65736325.8333333,28553164.4533333,6394481.13,4170107.69666667,3489729.19666667,1751879.26266667,5387314.18,27638762.0466667
"8",15386218.5266667,71379836.2,35681659.8333333,6540353.99666667,5439553.95333333,3345557.90666667,1904143.61133333,6427074.46333333,30147626.4
"81",15386218.5266667,71379836.2,35681659.8333333,6540353.99666667,5439553.95333333,3345557.90666667,1904143.61133333,6427074.46333333,30147626.4
"82",15386218.5266667,71379836.2,35681659.8333333,6540353.99666667,5439553.95333333,3345557.90666667,1904143.61133333,6427074.46333333,30147626.4
"9",5409669.36333333,68095258.8,16951325.2333333,7098150.1,5625727.65333333,3721707.21,2536651.62733333,5701880.69333333,34469113.1333333
"91",5409669.36333333,68095258.8,16951325.2333333,7098150.1,5625727.65333333,3721707.21,2536651.62733333,5701880.69333333,34469113.1333333
"92",5409669.36333333,68095258.8,16951325.2333333,7098150.1,5625727.65333333,3721707.21,2536651.62733333,5701880.69333333,34469113.1333333
"10",8742197.3,77140579.6666667,29606168.7733333,7478945.98666667,6188092.04,3715905.64,2178647.742,5613976.26333333,32496310.3733333
