产品部门,农林牧渔,工业,建筑业,批发和零售贸易业,交通运输,住宿和餐饮业,金融保险业,房地产业,其他
2002,6811579.15,242803442.8,797672.4,0,2919901.961,37980.8832,2760460.27,0,13293771.4
2003,10282608.1,339567694.2,973964.6,0,4502395.238,3280007.3,2973071.51,0,16031655.2
2004,13753637,436331945.5,1150257,0,6084888.515,6522033.72,3185682.74,0,18769539.1
2005,17224665.9,533096196.9,1326549,0,7667381.792,9764060.14,3398293.98,0,21507422.9
2006,20252137.5,594763788.1,1769588,0,9353151.906,7498758.05,2345012.82,0,31112622.3
2007,23279609.1,656431379.2,2212627,0,11038922.02,5233455.95,1291731.66,0,40717821.7
2008,29197559.4,736705268.5,2619546,0,13136400.67,6005495.1,1576685.32,0,42613345.4
2009,35115509.6,816979157.7,3026464,0,15233879.32,6777534.25,1861638.99,0,44508869.2
2010,41033459.8,897253047,3433383,0,17331357.97,7549573.4,2146592.65,0,46404392.9
2011,46110133.3,979511891.3,2858845,0,24996758.63,9538245.39,3290099.76,0,51404823.4
2012,51186806.8,1061770736,2284307,0,32662159.28,11526917.4,4433606.88,0,56405253.8
2013,51527873.2,1041940827,3639966,0,46639876.39,17539560.5,6038441.92,0,63363653.4
2014,51868939.5,1022110919,4995624,0,60617593.51,23552203.5,7643276.96,0,70322052.9
2015,52210005.9,1002281010,6351283,0,74595310.62,29564846.6,9248112,0,77280452.5
2016,56184125.3,1103346306,6093023,0,68275324,36023301.8,11545697.3,0,90639647
2017,60158244.8,1204411601,5834764,0,61955337.38,42481756.9,13843282.6,0,103998842
