,农林牧渔,工业,建筑业,批发和零售贸易业,交通运输,住宿和餐饮业,金融保险业,房地产业,其他
2002年1月,7266732.28,92714821.23,866090.8357,9244391.843,8366591.183,3005665.804,5428091.907,1558471.477,10791287.46
2002年2月,7266732.28,92714821.23,866090.8357,9244391.843,8366591.183,3005665.804,5428091.907,1558471.477,10791287.46
2002年3月,7266732.28,92714821.23,866090.8357,9244391.843,8366591.183,3005665.804,5428091.907,1558471.477,10791287.46
2002年4月,11406164.42,104067457.1,1535213.714,9027336.81,9237979.547,2784139.241,4886910.047,1481806.2,10355185.59
2002年5月,11406164.42,104067457.1,1535213.714,9027336.81,9237979.547,2784139.241,4886910.047,1481806.2,10355185.59
2002年6月,11406164.42,104067457.1,1535213.714,9027336.81,9237979.547,2784139.241,4886910.047,1481806.2,10355185.59
2002年7月,15875618.12,109950291.5,1595913.936,8471245.4,8148015.507,2760625.249,5072728.433,1792618.39,10516224.18
2002年8月,15875618.12,109950291.5,1595913.936,8471245.4,8148015.507,2760625.249,5072728.433,1792618.39,10516224.18
2002年9月,15875618.12,109950291.5,1595913.936,8471245.4,8148015.507,2760625.249,5072728.433,1792618.39,10516224.18
2002年10月,19913935.87,117623824.2,2141174.272,9122410.503,10648521.25,2690083.271,5638131.023,2087215.421,10497929.18
2002年11月,19913935.87,117623824.2,2141174.272,9122410.503,10648521.25,2690083.271,5638131.023,2087215.421,10497929.18
2002年12月,19913935.87,117623824.2,2141174.272,9122410.503,10648521.25,2690083.271,5638131.023,2087215.421,10497929.18
2003年1月,8865683.11,124445840.9,929853.4017,8796095.293,10389145.83,3957180.113,5958961.533,1565027.507,14766967.06
2003年2月,8865683.11,124445840.9,929853.4017,8796095.293,10389145.83,3957180.113,5958961.533,1565027.507,14766967.06
2003年3月,8865683.11,124445840.9,929853.4017,8796095.293,10389145.83,3957180.113,5958961.533,1565027.507,14766967.06
2003年4月,13682029.95,137483620.3,1640555.362,8691840.653,10956442.31,3574476.913,5278601.75,1521122.98,13817314.82
2003年5月,13682029.95,137483620.3,1640555.362,8691840.653,10956442.31,3574476.913,5278601.75,1521122.98,13817314.82
2003年6月,13682029.95,137483620.3,1640555.362,8691840.653,10956442.31,3574476.913,5278601.75,1521122.98,13817314.82
2003年7月,19937246.88,146774038.6,1795809.636,8592892.383,10124407.48,3876381.84,5480384.31,1753366.668,13597566.79
2003年8月,19937246.88,146774038.6,1795809.636,8592892.383,10124407.48,3876381.84,5480384.31,1753366.668,13597566.79
2003年9月,19937246.88,146774038.6,1795809.636,8592892.383,10124407.48,3876381.84,5480384.31,1753366.668,13597566.79
2003年10月,24741603.15,159374694.4,2244145.957,8788916.083,13206436.07,3716236.76,5956711.17,2091769.249,14831864.14
2003年11月,24741603.15,159374694.4,2244145.957,8788916.083,13206436.07,3716236.76,5956711.17,2091769.249,14831864.14
2003年12月,24741603.15,159374694.4,2244145.957,8788916.083,13206436.07,3716236.76,5956711.17,2091769.249,14831864.14
2004年1月,10081357.74,152517326.2,1009376.02,8075415.887,12288893.96,4658368.173,6502105.553,1580407.499,19045322.29
2004年2月,10081357.74,152517326.2,1009376.02,8075415.887,12288893.96,4658368.173,6502105.553,1580407.499,19045322.29
2004年3月,10081357.74,152517326.2,1009376.02,8075415.887,12288893.96,4658368.173,6502105.553,1580407.499,19045322.29
2004年4月,16291793.92,172776712.5,1762915.665,8508639.35,13517328.17,4651106.493,5584447.4,1556042.762,17955283.68
2004年5月,16291793.92,172776712.5,1762915.665,8508639.35,13517328.17,4651106.493,5584447.4,1556042.762,17955283.68
2004年6月,16291793.92,172776712.5,1762915.665,8508639.35,13517328.17,4651106.493,5584447.4,1556042.762,17955283.68
2004年7月,24265272.16,184181748.1,1954752.337,8387075.703,12160872.79,4811382.16,5793039.573,1747466.114,17225457.43
2004年8月,24265272.16,184181748.1,1954752.337,8387075.703,12160872.79,4811382.16,5793039.573,1747466.114,17225457.43
2004年9月,24265272.16,184181748.1,1954752.337,8387075.703,12160872.79,4811382.16,5793039.573,1747466.114,17225457.43
2004年10月,29353398.87,202323319.2,2355562.657,8902701.37,14985304.2,4888148.5,6444613.717,2058771.737,17641004.43
2004年11月,29353398.87,202323319.2,2355562.657,8902701.37,14985304.2,4888148.5,6444613.717,2058771.737,17641004.43
2004年12月,29353398.87,202323319.2,2355562.657,8902701.37,14985304.2,4888148.5,6444613.717,2058771.737,17641004.43
2005年1月,12359073.63,183993490.4,1054564.877,7860844.517,14662465.46,5720448.213,6716786.5,1630038.333,22897562.08
2005年2月,12359073.63,183993490.4,1054564.877,7860844.517,14662465.46,5720448.213,6716786.5,1630038.333,22897562.08
2005年3月,12359073.63,183993490.4,1054564.877,7860844.517,14662465.46,5720448.213,6716786.5,1630038.333,22897562.08
2005年4月,18914331.58,207684317.6,1866008.894,8141883.183,16457037.84,5649515.53,5834121.857,1594952.012,21143062.21
2005年5月,18914331.58,207684317.6,1866008.894,8141883.183,16457037.84,5649515.53,5834121.857,1594952.012,21143062.21
2005年6月,18914331.58,207684317.6,1866008.894,8141883.183,16457037.84,5649515.53,5834121.857,1594952.012,21143062.21
2005年7月,27684192.51,220283650,2014699.781,8112931.963,14579824.46,5742819.29,6253595.737,1720459.389,20680258.91
2005年8月,27684192.51,220283650,2014699.781,8112931.963,14579824.46,5742819.29,6253595.737,1720459.389,20680258.91
2005年9月,27684192.51,220283650,2014699.781,8112931.963,14579824.46,5742819.29,6253595.737,1720459.389,20680258.91
2005年10月,33798350.53,243558559.9,2619414.797,8762804.457,15527900.43,5780468.177,7168874.563,2008527.921,21999002.43
2005年11月,33798350.53,243558559.9,2619414.797,8762804.457,15527900.43,5780468.177,7168874.563,2008527.921,21999002.43
2005年12月,33798350.53,243558559.9,2619414.797,8762804.457,15527900.43,5780468.177,7168874.563,2008527.921,21999002.43
2006年1月,13506403.1,241742684.8,1001250.134,9762458.49,17063268.12,6298852.443,9211766.9,2243940.527,23677105.09
2006年2月,13506403.1,241742684.8,1001250.134,9762458.49,17063268.12,6298852.443,9211766.9,2243940.527,23677105.09
2006年3月,13506403.1,241742684.8,1001250.134,9762458.49,17063268.12,6298852.443,9211766.9,2243940.527,23677105.09
2006年4月,21155188.97,277085304.3,1734354.163,10144741.34,18805995.94,6191394.513,8477455.027,2235654.807,22269410.62
2006年5月,21155188.97,277085304.3,1734354.163,10144741.34,18805995.94,6191394.513,8477455.027,2235654.807,22269410.62
2006年6月,21155188.97,277085304.3,1734354.163,10144741.34,18805995.94,6191394.513,8477455.027,2235654.807,22269410.62
2006年7月,30734815.84,290569692.1,1885646.822,10128389.64,17247057.5,6480622.077,8893166.68,2317953.419,21821238.61
2006年8月,30734815.84,290569692.1,1885646.822,10128389.64,17247057.5,6480622.077,8893166.68,2317953.419,21821238.61
2006年9月,30734815.84,290569692.1,1885646.822,10128389.64,17247057.5,6480622.077,8893166.68,2317953.419,21821238.61
2006年10月,38221081.7,320456328.4,2489389.63,10926649.75,19366285.9,6651164.763,10664329.91,2811000.302,23324687.89
2006年11月,38221081.7,320456328.4,2489389.63,10926649.75,19366285.9,6651164.763,10664329.91,2811000.302,23324687.89
2006年12月,38221081.7,320456328.4,2489389.63,10926649.75,19366285.9,6651164.763,10664329.91,2811000.302,23324687.89
2007年1月,14496625.32,300514698.2,941426.6717,11394638.21,19231665.92,6756959.05,11908984.78,2670917.263,24041759.28
2007年2月,14496625.32,300514698.2,941426.6717,11394638.21,19231665.92,6756959.05,11908984.78,2670917.263,24041759.28
2007年3月,14496625.32,300514698.2,941426.6717,11394638.21,19231665.92,6756959.05,11908984.78,2670917.263,24041759.28
2007年4月,22841157.6,345511504.3,1626712.664,12030510.17,21872486.75,6621543.93,11777148.64,2886243.145,22936750.55
2007年5月,22841157.6,345511504.3,1626712.664,12030510.17,21872486.75,6621543.93,11777148.64,2886243.145,22936750.55
2007年6月,22841157.6,345511504.3,1626712.664,12030510.17,21872486.75,6621543.93,11777148.64,2886243.145,22936750.55
2007年7月,34452042.53,361344808,1747941.871,12146911.04,19773475.66,6982821.253,12443352.07,3057573.872,23190829.72
2007年8月,34452042.53,361344808,1747941.871,12146911.04,19773475.66,6982821.253,12443352.07,3057573.872,23190829.72
2007年9月,34452042.53,361344808,1747941.871,12146911.04,19773475.66,6982821.253,12443352.07,3057573.872,23190829.72
2007年10月,42690469.6,396816990.7,2350482.74,13473693.61,22859784.51,7989492.153,12391000.67,3648468.153,25295445.03
2007年11月,42690469.6,396816990.7,2350482.74,13473693.61,22859784.51,7989492.153,12391000.67,3648468.153,25295445.03
2007年12月,42690469.6,396816990.7,2350482.74,13473693.61,22859784.51,7989492.153,12391000.67,3648468.153,25295445.03
2008年1月,18488363.17,361713174,1190399.415,13504231.37,24972975.69,8301535.327,14806791.24,3612376.007,28899607.78
2008年2月,18488363.17,361713174,1190399.415,13504231.37,24972975.69,8301535.327,14806791.24,3612376.007,28899607.78
2008年3月,18488363.17,361713174,1190399.415,13504231.37,24972975.69,8301535.327,14806791.24,3612376.007,28899607.78
2008年4月,28715257.35,420009288,2062441.836,14460423.82,28122506.51,7953889.43,14429475.08,3715252,27479323.35
2008年5月,28715257.35,420009288,2062441.836,14460423.82,28122506.51,7953889.43,14429475.08,3715252,27479323.35
2008年6月,28715257.35,420009288,2062441.836,14460423.82,28122506.51,7953889.43,14429475.08,3715252,27479323.35
2008年7月,41094216.73,425329203.7,2159756.778,14806990.41,25565156.77,8537271.367,15103792.5,3541256.933,27815717.74
2008年8月,41094216.73,425329203.7,2159756.778,14806990.41,25565156.77,8537271.367,15103792.5,3541256.933,27815717.74
2008年9月,41094216.73,425329203.7,2159756.778,14806990.41,25565156.77,8537271.367,15103792.5,3541256.933,27815717.74
2008年10月,47925322.37,433690851,2880381.205,15854078.23,26351095.92,9485396.54,15799417.97,4136211.12,29294273.54
2008年11月,47925322.37,433690851,2880381.205,15854078.23,26351095.92,9485396.54,15799417.97,4136211.12,29294273.54
