,农林牧渔,工业,建筑业,批发和零售贸易业,交通运输,住宿和餐饮业,金融保险业,房地产业,其他
2002年1月,5314054.197,82964753.77,10130001.92,6755372.68,5807739.057,3790452.873,2269692.513,1483466.177,16941005.29
2002年2月,5314054.197,82964753.77,10130001.92,6755372.68,5807739.057,3790452.873,2269692.513,1483466.177,16941005.29
2002年3月,5314054.197,82964753.77,10130001.92,6755372.68,5807739.057,3790452.873,2269692.513,1483466.177,16941005.29
2002年4月,8341159.9,93123524.77,17956220.32,6596758.93,6412620.56,3511085.153,2043403.71,1410490.606,16256378.55
2002年5月,8341159.9,93123524.77,17956220.32,6596758.93,6412620.56,3511085.153,2043403.71,1410490.606,16256378.55
2002年6月,8341159.9,93123524.77,17956220.32,6596758.93,6412620.56,3511085.153,2043403.71,1410490.606,16256378.55
2002年7月,11609605.51,98387709.13,18666184.37,6190393.127,5656012.93,3481431.597,2121101.474,1706344.19,16509189.5
2002年8月,11609605.51,98387709.13,18666184.37,6190393.127,5656012.93,3481431.597,2121101.474,1706344.19,16509189.5
2002年9月,11609605.51,98387709.13,18666184.37,6190393.127,5656012.93,3481431.597,2121101.474,1706344.19,16509189.5
2002年10月,14562767.75,105254278.5,25043677.38,6666234.373,7391759.847,3392470.927,2357517.887,1986763.009,16480468.57
2002年11月,14562767.75,105254278.5,25043677.38,6666234.373,7391759.847,3392470.927,2357517.887,1986763.009,16480468.57
2002年12月,14562767.75,105254278.5,25043677.38,6666234.373,7391759.847,3392470.927,2357517.887,1986763.009,16480468.57
2003年1月,5901786.837,113858599.6,11391794.6,6034288.257,7606172.943,4515039.53,2694970.971,1494863.686,22522568.39
2003年2月,5901786.837,113858599.6,11391794.6,6034288.257,7606172.943,4515039.53,2694970.971,1494863.686,22522568.39
2003年3月,5901786.837,113858599.6,11391794.6,6034288.257,7606172.943,4515039.53,2694970.971,1494863.686,22522568.39
2003年4月,9107975.47,125787188.8,20098727.06,5962767.597,8021505.94,4078385.137,2387274.764,1452927.501,21074159.42
2003年5月,9107975.47,125787188.8,20098727.06,5962767.597,8021505.94,4078385.137,2387274.764,1452927.501,21074159.42
2003年6月,9107975.47,125787188.8,20098727.06,5962767.597,8021505.94,4078385.137,2387274.764,1452927.501,21074159.42
2003年7月,13272003.95,134287224,22000773.98,5894887.207,7412350.877,4422850.8,2478531.963,1674759.164,20738999.88
2003年8月,13272003.95,134287224,22000773.98,5894887.207,7412350.877,4422850.8,2478531.963,1674759.164,20738999.88
2003年9月,13272003.95,134287224,22000773.98,5894887.207,7412350.877,4422850.8,2478531.963,1674759.164,20738999.88
2003年10月,16470210.58,145815877.8,27493419.67,6029363.183,9668786.86,4240129.43,2693953.233,1997990.371,22621549.37
2003年11月,16470210.58,145815877.8,27493419.67,6029363.183,9668786.86,4240129.43,2693953.233,1997990.371,22621549.37
2003年12月,16470210.58,145815877.8,27493419.67,6029363.183,9668786.86,4240129.43,2693953.233,1997990.371,22621549.37
2004年1月,6260799.343,141368337.1,12851498.41,5157401.71,9317783.147,4984169.087,3132362.397,1514744.881,28548720.86
2004年2月,6260799.343,141368337.1,12851498.41,5157401.71,9317783.147,4984169.087,3132362.397,1514744.881,28548720.86
2004年3月,6260799.343,141368337.1,12851498.41,5157401.71,9317783.147,4984169.087,3132362.397,1514744.881,28548720.86
2004年4月,10117650.35,160146765.9,22445656.94,5434081.877,10249216.33,4976399.533,2690284.385,1491392.448,26914765.41
2004年5月,10117650.35,160146765.9,22445656.94,5434081.877,10249216.33,4976399.533,2690284.385,1491392.448,26914765.41
2004年6月,10117650.35,160146765.9,22445656.94,5434081.877,10249216.33,4976399.533,2690284.385,1491392.448,26914765.41
2004年7月,15069398.77,170718095.5,24888144.8,5356444.693,9220713.92,5147884.697,2790772.801,1674862.561,25820764.19
2004年8月,15069398.77,170718095.5,24888144.8,5356444.693,9220713.92,5147884.697,2790772.801,1674862.561,25820764.19
2004年9月,15069398.77,170718095.5,24888144.8,5356444.693,9220713.92,5147884.697,2790772.801,1674862.561,25820764.19
2004年10月,18229264.85,187533520.9,29991310.61,5685751.41,11362276.82,5230019.983,3104665.944,1973234.088,26443664.41
2004年11月,18229264.85,187533520.9,29991310.61,5685751.41,11362276.82,5230019.983,3104665.944,1973234.088,26443664.41
2004年12月,18229264.85,187533520.9,29991310.61,5685751.41,11362276.82,5230019.983,3104665.944,1973234.088,26443664.41
2005年1月,7275267.2,172006671.5,13870643.9,4625491.197,11396746.45,5852066.92,3408712.47,1567649.984,33928609.67
2005年2月,7275267.2,172006671.5,13870643.9,4625491.197,11396746.45,5852066.92,3408712.47,1567649.984,33928609.67
2005年3月,7275267.2,172006671.5,13870643.9,4625491.197,11396746.45,5852066.92,3408712.47,1567649.984,33928609.67
2005年4月,11134072.04,194154087.3,24543530.18,4790860.437,12791620.07,5779502.183,2960767.612,1533906.562,31328868.19
2005年5月,11134072.04,194154087.3,24543530.18,4790860.437,12791620.07,5779502.183,2960767.612,1533906.562,31328868.19
2005年6月,11134072.04,194154087.3,24543530.18,4790860.437,12791620.07,5779502.183,2960767.612,1533906.562,31328868.19
2005年7月,16296520.59,205932597.6,26499254.66,4773824.91,11332511.79,5874952.72,3173647.067,1654610.25,30643106.43
2005年8月,16296520.59,205932597.6,26499254.66,4773824.91,11332511.79,5874952.72,3173647.067,1654610.25,30643106.43
2005年9月,16296520.59,205932597.6,26499254.66,4773824.91,11332511.79,5874952.72,3173647.067,1654610.25,30643106.43
2005年10月,19895668.44,227691192.2,34453043.8,5156223.963,12069426.15,5913467.85,3638143.347,1931653.201,32597163.12
2005年11月,19895668.44,227691192.2,34453043.8,5156223.963,12069426.15,5913467.85,3638143.347,1931653.201,32597163.12
2005年12月,19895668.44,227691192.2,34453043.8,5156223.963,12069426.15,5913467.85,3638143.347,1931653.201,32597163.12
2006年1月,7954339.767,226373367.2,18309659.35,6873437.757,12447496.35,6668219.503,4123616.64,1736615.123,35238373.47
2006年2月,7954339.767,226373367.2,18309659.35,6873437.757,12447496.35,6668219.503,4123616.64,1736615.123,35238373.47
2006年3月,7954339.767,226373367.2,18309659.35,6873437.757,12447496.35,6668219.503,4123616.64,1736615.123,35238373.47
2006年4月,12458947.04,259469002.8,31715784.92,7142591,13718800.18,6554460.2,3794904.387,1730202.695,33143317.38
2006年5月,12458947.04,259469002.8,31715784.92,7142591,13718800.18,6554460.2,3794904.387,1730202.695,33143317.38
2006年6月,12458947.04,259469002.8,31715784.92,7142591,13718800.18,6554460.2,3794904.387,1730202.695,33143317.38
2006年7月,18100686.47,272096091.2,34482443.27,7131078.29,12581569.01,6860648.177,3980996.32,1793894.674,32476307.93
2006年8月,18100686.47,272096091.2,34482443.27,7131078.29,12581569.01,6860648.177,3980996.32,1793894.674,32476307.93
2006年9月,18100686.47,272096091.2,34482443.27,7131078.29,12581569.01,6860648.177,3980996.32,1793894.674,32476307.93
2006年10月,22509580.68,300082619.6,45522966.3,7693107.943,14127526.54,7041191.55,4773851.613,2175470.149,34713874.87
2006年11月,22509580.68,300082619.6,45522966.3,7693107.943,14127526.54,7041191.55,4773851.613,2175470.149,34713874.87
2006年12月,22509580.68,300082619.6,45522966.3,7693107.943,14127526.54,7041191.55,4773851.613,2175470.149,34713874.87
2007年1月,8540719.523,281696438.8,22692779.64,8905980.243,13357402.61,7347605.8,4949510.317,1782605.643,35923750.43
2007年2月,8540719.523,281696438.8,22692779.64,8905980.243,13357402.61,7347605.8,4949510.317,1782605.643,35923750.43
2007年3月,8540719.523,281696438.8,22692779.64,8905980.243,13357402.61,7347605.8,4949510.317,1782605.643,35923750.43
2007年4月,13456919.55,323875540.6,39211372.63,9402973.92,15191591.45,7200353.623,4894717.71,1926316.996,34272620.93
2007年5月,13456919.55,323875540.6,39211372.63,9402973.92,15191591.45,7200353.623,4894717.71,1926316.996,34272620.93
2007年6月,13456919.55,323875540.6,39211372.63,9402973.92,15191591.45,7200353.623,4894717.71,1926316.996,34272620.93
2007年7月,20297498.61,338717361.3,42133562.73,9493952.137,13733717.95,7593211.317,5171599.477,2040665.398,34652271.9
2007年8月,20297498.61,338717361.3,42133562.73,9493952.137,13733717.95,7593211.317,5171599.477,2040665.398,34652271.9
2007年9月,20297498.61,338717361.3,42133562.73,9493952.137,13733717.95,7593211.317,5171599.477,2040665.398,34652271.9
2007年10月,25151186.51,371968272.3,56657611.77,10530957.36,15877321.63,8687878.447,5149841.637,2435036.086,37797036.53
2007年11月,25151186.51,371968272.3,56657611.77,10530957.36,15877321.63,8687878.447,5149841.637,2435036.086,37797036.53
2007年12月,25151186.51,371968272.3,56657611.77,10530957.36,15877321.63,8687878.447,5149841.637,2435036.086,37797036.53
